id,logged_at,market,symbol,exchange_code,action_bias,action_reason,price,pnl_pct,holding_qty,rsi14,volume_ratio,intraday_momentum,intraday_bar_return,minute_ma_fast,minute_ma_slow,activity_score,cycle_no,realized_pnl_usd,realized_pnl_krw,session_id,strategy_flag,entry_by,is_session_trade,vwap,macd_line,macd_signal,macd_golden,breakout_distance_pct,atr,spread_pct,consecutive_losses,hold_cycles
21636,2026-07-06T16:23:46.628987+00:00,overseas,PFE,NYSE,SELL,atr_hard_stop,23.7577,-0.024404566360052584,421,19.121892406634217,0.5710032472290569,-0.0007949894632349819,0.000948066996734322,23.76181111111111,23.731252380952384,-414.5485,33,,,246ec46763ea,VWAP+VOL+RSI,VWAP,1,,,,,,,,,
21637,2026-07-06T16:23:46.638898+00:00,overseas,NKE,NYSE,SELL,atr_hard_stop,42.97,-0.017379373427852687,90,29.27077582714614,0.4840577563062558,0.006324045890892047,0.002451311953352774,42.74055555555556,42.51578095238095,-463.05,33,,,246ec46763ea,VWAP+VOL+RSI,VWAP,1,,,,,,,,,
21638,2026-07-06T16:23:46.648319+00:00,overseas,LWAY,NASD,SELL,momentum_loss_cut,29.955,-0.005445067897340598,942,45.28793974372217,6.318595170899969,-0.0038244097106751576,0.0011697860962565703,30.063333333333333,30.179285714285715,-600.0686,33,,,246ec46763ea,VOL,VOL,1,,,,,,,,,
21639,2026-07-06T16:23:46.657765+00:00,overseas,EH,NASD,WAIT,volume_low,5.8,,0,34.5865204553792,0.3001243543141381,-0.0060034305317324425,0.0008635578583764929,5.823333333333333,5.780595238095238,-1576.4837,33,,,246ec46763ea,RSI,RSI,1,,,,,,,,,
21640,2026-07-06T16:23:46.667234+00:00,overseas,SOLS,NASD,WAIT,volume_low,68.08,,0,25.37835509518922,0.736990808874573,-0.009322651128914793,-0.003954305799648448,68.58055555555556,68.89664285714287,-2976.4524,33,,,246ec46763ea,VOL+RSI,,1,,,,,,,,,
21641,2026-07-06T16:24:13.567604+00:00,overseas,V,NYSE,SELL,atr_hard_stop,355.5,-0.012746813296675763,20,36.13940920421769,0.4925929844981747,0.004362927821077646,0.00090475835353683,354.43427777777777,354.12885714285716,-325.3948,34,,,246ec46763ea,VWAP,VWAP,1,,,,,,,,,
21642,2026-07-06T16:24:13.578621+00:00,overseas,KO,NYSE,SELL,atr_hard_stop,82.49,-0.014632980947261643,87,40.49186371415322,1.6470131639393604,0.0021246888848420005,0.0007881176113975379,82.51681111111111,82.65672857142856,-348.8577,34,,,246ec46763ea,VWAP+VOL+RSI,VWAP,1,,,,,,,,,
21643,2026-07-06T16:24:13.588256+00:00,overseas,ABBV,NYSE,SELL,atr_hard_stop,255.66,-0.020872429244379827,29,33.61229910023678,0.33944223669005946,0.0009788950232977017,0.00045005381078164826,255.46656666666664,255.79757142857142,-375.3143,34,,,246ec46763ea,VWAP+VOL+RSI,VWAP,1,,,,,,,,,
21644,2026-07-06T16:24:13.597513+00:00,overseas,PFE,NYSE,SELL,atr_hard_stop,23.755,-0.024515440210249723,421,19.121892406634217,0.5710032472290569,-0.0007949894632349819,0.000948066996734322,23.76181111111111,23.731252380952384,-416.5422,34,,,246ec46763ea,VWAP+VOL+RSI,VWAP,1,,,,,,,,,
21645,2026-07-06T16:24:13.606804+00:00,overseas,NKE,NYSE,SELL,atr_hard_stop,42.965,-0.017493711410930562,90,29.27077582714614,0.4840577563062558,0.006324045890892047,0.002451311953352774,42.74055555555556,42.51578095238095,-465.0441,34,,,246ec46763ea,VWAP+VOL+RSI,VWAP,1,,,,,,,,,
21646,2026-07-06T16:24:13.616933+00:00,overseas,LWAY,NASD,SELL,momentum_loss_cut,29.955,-0.005445067897340598,942,45.28793974372217,6.318595170899969,-0.0038244097106751576,0.0011697860962565703,30.063333333333333,30.179285714285715,-600.0686,34,,,246ec46763ea,VOL,VOL,1,,,,,,,,,
21647,2026-07-06T16:24:13.626303+00:00,overseas,EH,NASD,WAIT,volume_low,5.79,,0,34.5865204553792,0.3001243543141381,-0.0060034305317324425,0.0008635578583764929,5.823333333333333,5.780595238095238,-1608.483,34,,,246ec46763ea,RSI,RSI,1,,,,,,,,,
21648,2026-07-06T16:24:13.635799+00:00,overseas,SOLS,NASD,WAIT,volume_low,68.035,,0,25.37835509518922,0.736990808874573,-0.009322651128914793,-0.003954305799648448,68.58055555555556,68.89664285714287,-2988.4448,34,,,246ec46763ea,VOL+RSI,,1,,,,,,,,,
